BOTTLE,20080509JAMSTEC
EXPOCODE,SECT,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDDPT,CTDDPT_FLAG_W,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,FLUOR,FLUOR_FLAG_W,CHLORA,CHLORA_FLAG_W,CHLWELSH,CHLWELSH_W,PPHYTN,PPHYTN_FLAG_W,XMISS,XMISS_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,PH,PH_FLAG_W,PH_TMP,PH_SCALE,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,M,M,,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UG/L,,MG/CUM,,MG/CUM,,MG/CUM,,%TRANS,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,25_DEG,,DEG_C,,DEG C,KG/CUM
     49MR02K01, EQPAC,  C014,1,3,3,1,20020123,1509,-0.0002,-160.002,5164,30,2,30,2,27.909,2,35.428,2,-999,9,181.46,2,-999,9,0.6,1,0.2,2,0.22,2,0.12,2,87,1,1.87,2,3.9,2,0.46,2,0.44,2,-999,9,-999,9,-999,9,27.9,22.75
     49MR02K01, EQPAC,  C014,1,4,4,1,20020123,1509,-0.0002,-160.002,5164,40,2,40,2,27.89,2,35.429,2,-999,9,181.3,2,-999,9,0.6,1,0.09,2,0.23,2,0.29,2,87,1,1.83,2,3.97,2,0.47,2,0.45,2,-999,9,-999,9,-999,9,27.88,22.76
     49MR02K01, EQPAC,  C014,1,5,5,1,20020123,1509,-0.0002,-160.002,5164,49,2,50,2,27.864,2,35.431,2,-999,9,180.81,2,-999,9,0.6,1,0.19,2,0.23,2,0.13,2,87,1,1.86,2,3.97,2,0.48,2,0.45,2,-999,9,-999,9,-999,9,27.85,22.77
     49MR02K01, EQPAC,  C014,1,6,6,1,20020123,1509,-0.0002,-160.002,5164,61,2,61,2,27.755,2,35.438,2,-999,9,179.99,2,-999,9,0.7,1,0.23,2,0.32,2,0.24,2,87,1,1.85,2,4.32,2,0.51,2,0.48,2,-999,9,-999,9,-999,9,27.74,22.81
     49MR02K01, EQPAC,  C014,1,7,7,1,20020123,1509,-0.0002,-160.002,5164,68,2,69,2,27.659,2,35.443,2,-999,9,179.81,2,-999,9,0.6,1,0.25,2,0.33,2,0.24,2,87,1,1.86,2,4.5,2,0.5,2,0.5,2,-999,9,-999,9,-999,9,27.64,22.84
     49MR02K01, EQPAC,  C014,1,8,8,1,20020123,1509,-0.0002,-160.002,5164,80,2,80,2,27.609,2,35.438,2,-999,9,180.66,2,-999,9,0.5,1,0.22,2,0.28,2,0.18,2,88,1,1.91,2,4.49,2,0.47,2,0.5,2,-999,9,-999,9,-999,9,27.59,22.86
     49MR02K01, EQPAC,  C014,1,9,9,1,20020123,1509,-0.0002,-160.002,5164,91,2,91,2,27.545,2,35.431,2,-999,9,180.52,2,-999,9,0.4,1,0.2,2,0.25,2,0.16,2,88,1,1.95,2,4.59,2,0.47,2,0.5,2,-999,9,-999,9,-999,9,27.52,22.87
     49MR02K01, EQPAC,  C014,1,10,10,1,20020123,1509,-0.0002,-160.002,5164,101,2,101,2,27.395,2,35.419,2,-999,9,181.18,2,-999,9,0.3,1,0.17,2,0.22,2,0.15,2,88,1,2.03,2,4.81,2,0.45,2,0.52,2,-999,9,-999,9,-999,9,27.37,22.91
     49MR02K01, EQPAC,  C014,1,11,11,1,20020123,1509,-0.0002,-160.002,5164,123,2,123,2,27.082,2,35.393,2,-999,9,176.42,2,-999,9,0.2,1,0.09,2,0.13,2,0.1,2,88,1,2.18,2,5.35,2,0.49,2,0.56,2,-999,9,-999,9,-999,9,27.05,23
     49MR02K01, EQPAC,  C014,1,12,12,1,20020123,1509,-0.0002,-160.002,5164,152,2,153,2,26.241,2,35.566,2,-999,9,151.37,2,-999,9,0,1,0.02,2,0.02,2,0.02,2,88,1,2.48,2,8.71,2,0.24,2,0.76,2,-999,9,-999,9,-999,9,26.21,23.4
     49MR02K01, EQPAC,  C014,1,13,13,1,20020123,1509,-0.0002,-160.002,5164,199,2,200,2,15.399,2,35.141,2,-999,9,131.46,2,-999,9,0,1,0,2,0.01,2,0.02,2,88,1,10.16,2,16.66,2,0.03,2,1.2,2,-999,9,-999,9,-999,9,15.37,26
     49MR02K01, EQPAC,  C014,1,14,14,1,20020123,1509,-0.0002,-160.002,5164,20,2,20,2,27.907,2,35.428,2,-999,9,181.48,2,-999,9,0.6,1,-999,9,-999,9,-999,9,87,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.9,22.75
     49MR02K01, EQPAC,  C014,1,15,15,1,20020123,1509,-0.0002,-160.002,5164,41,2,41,2,27.895,2,35.429,2,-999,9,181.23,2,-999,9,0.6,1,-999,9,-999,9,-999,9,87,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.89,22.75
     49MR02K01, EQPAC,  C014,1,16,16,1,20020123,1509,-0.0002,-160.002,5164,61,2,61,2,27.802,2,35.435,2,-999,9,180.4,2,-999,9,0.6,1,-999,9,-999,9,-999,9,87,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.79,22.79
     49MR02K01, EQPAC,  C014,1,17,17,1,20020123,1509,-0.0002,-160.002,5164,80,2,80,2,27.616,2,35.438,2,-999,9,180.77,2,-999,9,0.5,1,-999,9,-999,9,-999,9,88,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.6,22.86
     49MR02K01, EQPAC,  C014,1,18,18,1,20020123,1509,-0.0002,-160.002,5164,101,2,101,2,27.403,2,35.417,2,-999,9,180.82,2,-999,9,0.4,1,-999,9,-999,9,-999,9,88,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.38,22.91
     49MR02K01, EQPAC,  C014,1,19,19,1,20020123,1509,-0.0002,-160.002,5164,121,2,122,2,27.088,2,35.394,2,-999,9,177.72,2,-999,9,0.2,1,-999,9,-999,9,-999,9,88,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,27.06,23
     49MR02K01, EQPAC,  C014,1,20,20,1,20020123,1509,-0.0002,-160.002,5164,143,2,144,2,26.559,2,35.507,2,-999,9,158.22,2,-999,9,0,1,-999,9,-999,9,-999,9,88,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,26.53,23.25
     49MR02K01, EQPAC,  C014,1,21,21,1,20020123,1509,-0.0002,-160.002,5164,161,2,162,2,22.6,2,35.588,2,-999,9,124.76,2,-999,9,0,1,-999,9,-999,9,-999,9,88,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,22.57,24.5
     49MR02K01, EQPAC,  C014,1,22,22,1,20020123,1509,-0.0002,-160.002,5164,181,2,182,2,17.303,2,35.168,2,-999,9,130.4,2,-999,9,0,1,-999,9,-999,9,-999,9,88,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,17.27,25.58
     49MR02K01, EQPAC,  C014,1,23,23,1,20020123,1509,-0.0002,-160.002,5164,201,2,202,2,15.337,2,35.137,2,-999,9,131.44,2,-999,9,0,1,-999,9,-999,9,-999,9,88,1,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,15.31,26.01
